FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VS
 V A V
718 -69 -1.04207E-05 0
719 -70 -1.04261E-05 0
720 -71 -1.04316E-05 0
721 -72 -1.0436E-05 0
722 -73 -1.04421E-05 0
723 -74 -1.04468E-05 0
724 -75 -1.04513E-05 0
725 -76 -1.04571E-05 0
726 -77 -1.04622E-05 0
727 -78 -1.04662E-05 0
728 -79 -1.0471E-05 0
729 -80 -1.04748E-05 0
730 0 7.3887E-09 0
731 -1 -5.54173E-07 0
732 -2 -1.07778E-06 0
733 -3 -1.58904E-06 0
734 -4 -2.07249E-06 0
735 -5 -2.53841E-06 0
736 -6 -2.98413E-06 0
737 -7 -3.41436E-06 0
738 -8 -3.82627E-06 0
739 -9 -4.2236E-06 0
740 -10 -4.60322E-06 0
741 -11 -4.96916E-06 0
742 -12 -5.31929E-06 0
743 -13 -5.65358E-06 0
744 -14 -5.9751E-06 0
745 -15 -6.28183E-06 0
746 -16 -6.5753E-06 0
747 -17 -6.85412E-06 0
748 -18 -7.12126E-06 0
749 -19 -7.37437E-06 0
750 -20 -7.61545E-06 0
751 -21 -7.844E-06 0
752 -22 -8.07368E-06 0
753 -23 -8.2856E-06 0
754 -24 -8.48443E-06 0
755 -25 -8.67258E-06 0
756 -26 -8.84695E-06 0
757 -27 -9.01234E-06 0
758 -28 -9.16791E-06 0
759 -29 -9.31275E-06 0
760 -30 -9.44818E-06 0
761 -31 -9.57291E-06 0
762 -32 -9.6909E-06 0
763 -33 -9.80024E-06 0
764 -34 -9.89969E-06 0
765 -35 -9.99344E-06 0
766 -36 -1.00784E-05 0
767 -37 -1.01467E-05 0
768 -38 -1.02125E-05 0
769 -39 -1.02743E-05 0
770 -40 -1.03308E-05 0
771 -41 -1.03832E-05 0
772 -42 -1.04307E-05 0
773 -43 -1.0475E-05 0
774 -44 -1.05147E-05 0
775 -45 -1.0552E-05 0
776 -46 -1.05856E-05 0
777 -47 -1.06168E-05 0
778 -48 -1.06458E-05 0
779 -49 -1.06707E-05 0
780 -50 -1.06946E-05 0
781 -51 -1.07171E-05 0
782 -52 -1.07374E-05 0
783 -53 -1.0756E-05 0
784 -54 -1.07732E-05 0
785 -55 -1.07887E-05 0
786 -56 -1.08036E-05 0
787 -57 -1.08174E-05 0
788 -58 -1.08295E-05 0
789 -59 -1.08414E-05 0
790 -60 -1.08533E-05 0
791 -61 -1.08649E-05 0
792 -62 -1.08743E-05 0
793 -63 -1.08838E-05 0
794 -64 -1.08926E-05 0
795 -65 -1.09011E-05 0
796 -66 -1.091E-05 0
797 -67 -1.09167E-05 0
798 -68 -1.09235E-05 0
799 -69 -1.09311E-05 0
800 -70 -1.09372E-05 0
801 -71 -1.09436E-05 0
802 -72 -1.09489E-05 0
803 -73 -1.09554E-05 0
804 -74 -1.09611E-05 0
805 -75 -1.09659E-05 0
806 -76 -1.09721E-05 0
807 -77 -1.09772E-05 0
808 -78 -1.09831E-05 0
809 -79 -1.09878E-05 0
810 -80 -1.09926E-05 0
811 0 7.1929E-09 0
812 -1 -5.70061E-07 0
813 -2 -1.10934E-06 0
814 -3 -1.63631E-06 0
815 -4 -2.13523E-06 0
816 -5 -2.61628E-06 0
817 -6 -3.07752E-06 0
818 -7 -3.52291E-06 0
819 -8 -3.94969E-06 0
820 -9 -4.36194E-06 0
821 -10 -4.75647E-06 0
822 -11 -5.13631E-06 0
823 -12 -5.50071E-06 0
824 -13 -5.84969E-06 0
825 -14 -6.18464E-06 0
826 -15 -6.50516E-06 0
827 -16 -6.81252E-06 0
828 -17 -7.10495E-06 0
829 -18 -7.38556E-06 0
830 -19 -7.65149E-06 0
831 -20 -7.90544E-06 0
832 -21 -8.1576E-06 0
833 -22 -8.39283E-06 0
834 -23 -8.61476E-06 0
835 -24 -8.82506E-06 0
836 -25 -9.02205E-06 0
837 -26 -9.20935E-06 0
838 -27 -9.3845E-06 0
839 -28 -9.54868E-06 0
840 -29 -9.70114E-06 0
841 -30 -9.84532E-06 0
842 -31 -9.98039E-06 0
843 -32 -1.01047E-05 0
844 -33 -1.02096E-05 0
845 -34 -1.03106E-05 0
846 -35 -1.0404E-05 0
847 -36 -1.0493E-05 0
848 -37 -1.05736E-05 0
849 -38 -1.06496E-05 0
850 -39 -1.07187E-05 0
851 -40 -1.07825E-05 0
